MissingRate,Repeat,Seed,Mean,Median,ClinDiff-Lite,ClinDiff-Gated,Mean Liver Avg,ClinDiff-Lite Liver Avg,ClinDiff-Gated Liver Avg,Grouped Usage Rate,Masked Observed Cells,Masked Headline Cells,Masked Liver Cells
20%,1,2226,188.44582036394968,204.90598525812442,188.31164865769372,188.69856122737357,199.15385368370391,194.2155213311203,194.47941526404097,0.7017469109501491,2405,2001,1125
20%,2,2227,192.08982795180927,208.09948418236425,185.4757023631512,186.1247546877101,187.12115065669684,175.72065203791638,176.1181290972476,0.7068598210481466,2467,2004,1111
20%,3,2228,190.42887671058065,207.03141861095452,187.00982233376737,188.2733501929917,196.60396560644392,186.60634605930082,187.79834138821613,0.6974861525351512,2405,1991,1144
20%,4,2229,183.9292870148771,201.84152210208163,175.72305740889684,176.2568878564487,178.10596748560968,162.85441527239502,162.62858699843943,0.7047294418406477,2324,1913,1088
20%,5,2230,171.19053748672334,186.27617946910553,164.99088444117166,166.03059685441715,181.78534500982184,170.1441639699193,170.94184575539407,0.6966340008521517,2437,1997,1147
20%,6,2231,181.1540851318366,197.54191679592415,171.9198884009038,173.3415959061161,186.12857448237955,170.81446755923866,172.03757828423235,0.7017469109501491,2399,1996,1145
20%,7,2232,172.7281635727776,186.35888720533458,164.42643551458235,165.29121588297266,172.23402991964178,158.12305509964,158.4313005549937,0.706007669365147,2426,1997,1128
20%,8,2233,217.42875046078856,233.0400396268533,214.72415792909786,215.32461807450682,218.60018564281827,209.72341166192314,210.41786889863258,0.6974861525351512,2407,1973,1126
20%,9,2234,193.51573729182198,209.4659479766143,191.3007159164777,188.4489878062177,192.34648636880493,182.0566727823715,180.00415442565824,0.6983383042181508,2465,2044,1165
20%,10,2235,202.65998552189575,218.38493953220865,201.53252991471373,201.37687856522572,207.20483244380918,196.34207829754607,196.00621372778804,0.7017469109501491,2503,2064,1139
20%,11,2236,175.0806843239036,192.32533561970683,165.13738554044122,167.99027875244437,178.42475432052413,162.45726083561104,164.8167493836573,0.7043033659991479,2476,2044,1160
20%,12,2237,193.10513667480794,207.96385911070368,191.8716069208933,185.57107210291278,186.83503030288747,180.14125417367526,175.2095963541839,0.7017469109501491,2454,2022,1181
20%,13,2238,175.94406498575967,190.84069606425282,176.78946638030573,177.5520979400587,187.1697645194191,182.3686918081818,182.9822062202734,0.6953557733276523,2492,2038,1177
20%,14,2239,203.88308252118256,217.451038409637,202.16622738270794,195.00425515757456,194.70097435105694,185.57678645966993,180.05134003855164,0.6970600766936514,2448,2026,1177
20%,15,2240,185.17205088650425,204.8906074770166,185.71109050183128,186.24622406244373,174.93425134695676,170.5847855781248,171.1084914989676,0.6889646357051555,2470,2034,1196
20%,16,2241,164.77748900024838,180.85027987677964,165.33490331694037,164.7142136725506,172.7630072850765,166.33665876940276,165.6882079962106,0.697912228376651,2496,2047,1180
20%,17,2242,207.48110459444928,224.9604678158812,201.11858402943298,201.89721831808782,206.1281805516874,192.55736262958246,193.17543862163907,0.7106945036216447,2410,2004,1127
20%,18,2243,192.24387835674207,207.62701254222512,180.74659336616503,180.94010032578356,193.7477073045827,176.6673953215096,176.75695851372794,0.7145291861951427,2303,1892,1081
20%,19,2244,156.47616706964632,170.2265046077272,157.0306519992118,156.57742441553498,160.91679093220264,154.93109219503128,154.5359696183068,0.7030251384746485,2475,2032,1142
20%,20,2245,158.28492045139657,176.4349913700343,154.62624883958952,155.42127867459078,172.8228879745027,165.14642793681332,165.7507384162785,0.6966340008521517,2498,2071,1181
