MissingRate,Feature,Mean,Median,ClinDiff-Lite,ClinDiff-Gated
20%,age,11.081115641809614,11.069396168334185,11.081115641809614,11.081115641809614
20%,survival_days,688.6100761076732,703.6733013712837,688.6100761076732,688.6100761076732
20%,fasting_glucose_mmol_L,3.8121000007157004,3.9590023122948237,3.8121000007157004,3.8121000007157004
20%,tb_before_treatment,82.66631283864574,88.37309269511846,66.75731513547984,65.7459465460985
20%,ggt_before_treatment,439.3825590867744,466.8536635387796,431.5528638178521,434.1528823477458
20%,db_before_treatment,54.78930851340294,58.50579803501127,41.035884302586055,41.058135461475224
40%,age,10.99226001210179,10.980940316216572,10.99226001210179,10.99226001210179
40%,survival_days,624.5518679830576,645.3062866263667,624.5518679830576,624.5518679830576
40%,fasting_glucose_mmol_L,3.46901551747456,3.6115188286132356,3.46901551747456,3.46901551747456
40%,tb_before_treatment,84.97385552647529,91.04720745376106,71.85525671026078,71.60405825409063
40%,ggt_before_treatment,411.51528030821163,443.96865024983146,411.51528030821163,406.87360571050465
40%,db_before_treatment,55.11146098983391,59.155398848204,45.55955288738181,45.48889290496026
60%,age,10.87743989843069,10.875964976645903,10.87743989843069,10.87743989843069
60%,survival_days,607.7427616873357,624.4393834296342,607.7427616873357,607.7427616873357
60%,fasting_glucose_mmol_L,3.4574273288311232,3.598914883497267,3.4574273288311232,3.4574273288311232
60%,tb_before_treatment,86.46218879844751,93.18430031338173,78.59127568476626,78.59127568476626
60%,ggt_before_treatment,424.55146847658875,462.58049601111225,424.55146847658875,424.55146847658875
60%,db_before_treatment,53.10377461936553,57.00736100574456,49.19459441715857,49.19459441715857
