MissingRate,Repeat,Seed,Mean,Median,ClinDiff-Lite
20%,1,2226,301.0452992717441,308.9500717964028,300.1844975704194
20%,2,2227,380.02718777351294,395.74546316016927,377.3716502225613
20%,3,2228,326.80418826112043,342.51137821422645,325.18379461023477
20%,4,2229,298.8054396879817,313.62374811082407,294.76122023970515
20%,5,2230,295.04014531259696,305.21098520348903,292.1645298728133
20%,6,2231,310.7526217142248,321.2925411195807,309.63627420182445
20%,7,2232,303.69692437412004,316.7886752214072,299.9255238290552
20%,8,2233,311.8123545022049,324.69484039410116,310.28626636479817
20%,9,2234,289.22509224696415,304.2077766579613,283.12661492901356
20%,10,2235,286.9703355899307,298.1156204280613,286.43222924490794
20%,11,2236,312.2652278845386,323.91012980312917,307.80468116491045
20%,12,2237,320.169712785684,333.1166413554862,319.563044663163
20%,13,2238,294.1439867070876,305.7280682389613,293.35648557143253
20%,14,2239,316.6365412410178,329.68007795142233,315.7319523564011
20%,15,2240,277.2662860805013,292.29165277281845,277.5602738097216
20%,16,2241,294.3392461489615,308.32786038187277,294.59184387701043
20%,17,2242,333.22068391749104,346.0506635490785,329.99722556643286
20%,18,2243,323.1089698046897,341.03613717766547,317.6793296609765
20%,19,2244,302.7791174423137,311.18709422020413,303.01170336193087
20%,20,2245,304.38633153931113,319.58950926979446,303.69635881454457
40%,1,2426,305.0977606449141,319.4653723558569,304.45385163317036
40%,2,2427,305.4036428125904,318.60477066065425,307.75057934600625
40%,3,2428,303.63627923977015,316.2748406931737,303.0796077631614
40%,4,2429,320.18717501897044,332.29553101475113,318.7218455661715
40%,5,2430,304.7420911282507,318.4871802520546,304.08882870207225
40%,6,2431,326.56534685335595,342.40845263388707,325.9176987564894
40%,7,2432,307.5431524772469,320.2421608261346,306.7754118409585
40%,8,2433,306.96351758424584,319.2319892830304,305.4161208383457
40%,9,2434,298.2795992824152,313.284249988357,294.9548614054076
40%,10,2435,327.37050089010955,341.0581701978809,326.69656529626246
40%,11,2436,298.1627523818095,309.3780319723342,297.4025958936376
40%,12,2437,290.34033381941555,300.7547337272618,289.01665414134874
40%,13,2438,295.23868469920393,306.4767662416972,294.5933190054333
40%,14,2439,315.3988941230002,330.9997664341851,314.4057703097915
40%,15,2440,293.2632771374444,307.42958951074877,292.5431582778149
40%,16,2441,303.40529467568166,318.3011522141844,302.7751063150786
40%,17,2442,284.13657202696857,294.69262467342304,283.42279336421797
40%,18,2443,278.07351678796294,289.13602153058383,277.34710839197953
40%,19,2444,301.7532662346687,313.39123363813974,301.1976778796485
40%,20,2445,292.01235189103113,301.8068840145437,289.31125447303083
60%,1,2626,312.7877031974916,325.42062224480907,312.5237305931317
60%,2,2627,314.8973742735092,330.04085748383403,314.51816422442823
60%,3,2628,315.18002708517787,327.9979728583316,315.1202788671683
60%,4,2629,311.6576092804042,325.76050181922494,311.294169090692
60%,5,2630,293.6404547553404,305.87509652542195,293.28087705330086
60%,6,2631,302.71572327721367,315.95650482536064,302.3609528516091
60%,7,2632,299.29166770644116,311.09325062214333,299.0241374573817
60%,8,2633,306.1851080957682,319.1094492436628,305.7242542108009
60%,9,2634,293.2169721338336,306.98417450977144,292.75045605057835
60%,10,2635,300.7359685425389,314.4066461705976,300.3435725620589
60%,11,2636,301.6629457556019,315.8533849351151,301.2940803199537
60%,12,2637,306.6612522017283,318.5538523804191,306.4087673017685
60%,13,2638,290.86650295797614,303.0278662812788,293.8302921468448
60%,14,2639,317.5949135803011,329.1289311486581,317.27519314719865
60%,15,2640,314.775581631561,326.68783668512197,314.39745791914163
60%,16,2641,315.0803965478512,327.33634242794705,314.8049499805817
60%,17,2642,302.3252052842162,314.5772519519759,301.76028881382325
60%,18,2643,292.66158696813034,305.2100602358028,292.4550919984799
60%,19,2644,297.93382408350334,312.2439188162923,297.5571694001021
60%,20,2645,306.2237159201301,319.4154697589279,305.89359470332346
